event_url,시술명,새_원가
https://www.yeoshin.co.kr/event/mobile/26016,대표원장시술 듀얼스킨부스터_리쥬란+리투오,"893,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/21015,섬세한 손길로 채우는 피부 속! 리쥬란,"183,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/2764,더마샤인 리쥬란 힐러주사,"262,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/19266,유노 에어녹스 리쥬란힐러 2cc,"268,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/17688,피부재생 리쥬란힐러+리쥬란아이,"198,000원"
https://www.yeoshin.co.kr/event/mobile/19265,유노 리쥬란힐러 2cc,"213,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/14461,통증적은 리쥬란 힐러/리쥬란 블랙 2cc,"213,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26213,물광주사 2.5cc 진정 관리 포함,"81,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26866,리투오 7cc_더마샤인 저통증 촘촘 시술,"983,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27668,대표원장 직접시술 / 레디어스(칼슘필러),"883,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26797,잠실온 피부과전문의_ 레디어스,"763,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25836,엑소좀ASCE+엘리시스 니들 고주파,"333,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/20313,[정품]엑소좀ASCE+5CC,"178,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27664,대표원장 직접 시술 / 물광 릴리이드M,"132,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27012,"레이저토닝 1회(선릉,선정릉,강남)","33,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/24645,더이뻐 피코토닝,"101,900원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/666,명동루비_포텐자 다이아몬드 리프팅,"183,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27560,맑은 피부 피코토닝,"173,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27446,"잠실온 피부과전문의_ 흑자, 기미, 잡티,","103,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26214,피코토닝+제네시스+백옥주사 미백관리 포함,"191,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/11002,안티에이징 미백레이저 여자피부과전문의,"213,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/7851,피코토닝,"103,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/24579,듀얼 토닝(미백+제네시스),"59,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26037,나비존 피코 프락셀 진정케어 포함 - 모공,"125,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/9645,젠틀맥스 PRO 여자피부과전문의,"43,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/21427,안구건조증 정밀검사 및 치료 (IPL),"100,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26863,추가금X 풀옵션 올레이저 라식 라섹,"1,590,000원
VAT 포함"
