event_url,hospital_name,hospital_url,status
https://www.yeoshin.co.kr/event/mobile/23257,어뉴의원,https://www.yeoshin.co.kr/hospitals/205?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26089,연의원 범계(안양),https://www.yeoshin.co.kr/hospitals/4974?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26446,일공공성형외과의원,https://www.yeoshin.co.kr/hospitals/104033?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26560,유넬의원,https://www.yeoshin.co.kr/hospitals/103960?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/20872,더비비성형외과의원,https://www.yeoshin.co.kr/hospitals/4655?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26292,더비비성형외과의원,https://www.yeoshin.co.kr/hospitals/4655?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/18828,뷰티앤디지털치과병원,https://www.yeoshin.co.kr/hospitals/5125?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26694,제이필의원(홍대점),https://www.yeoshin.co.kr/hospitals/104043?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/18814,뷰티앤디지털치과병원,https://www.yeoshin.co.kr/hospitals/5125?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/21908,닥터쁘띠의원(인천구월점),https://www.yeoshin.co.kr/hospitals/5346?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/13742,제이필의원(강남점),https://www.yeoshin.co.kr/hospitals/356?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/12416,VS라인의원(인천구월점),https://www.yeoshin.co.kr/hospitals/4862?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/27791,세라성형외과의원,https://www.yeoshin.co.kr/hospitals/103829?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/22026,비올라셀성형외과,https://www.yeoshin.co.kr/hospitals/5366?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/22849,닥터쁘띠의원(대전점),https://www.yeoshin.co.kr/hospitals/5241?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/27560,서울탑초이스의원,https://www.yeoshin.co.kr/hospitals/104062?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/16377,제너리스의원(연신내점),https://www.yeoshin.co.kr/hospitals/5011?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/21910,제너리스의원(연신내점),https://www.yeoshin.co.kr/hospitals/5011?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/1740,유앤아이의원(일산점),https://www.yeoshin.co.kr/hospitals/4767?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/3684,다이아의원,https://www.yeoshin.co.kr/hospitals/4892?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26588,포레나의원,https://www.yeoshin.co.kr/hospitals/5081?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/7970,지우의원,https://www.yeoshin.co.kr/hospitals/3766?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/27446,잠실온피부과의원,https://www.yeoshin.co.kr/hospitals/104046?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/16851,유앤아이의원(대전점),https://www.yeoshin.co.kr/hospitals/5048?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/18625,리엔장의원(목동점),https://www.yeoshin.co.kr/hospitals/228?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26033,강남초이스병원,https://www.yeoshin.co.kr/hospitals/103986?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/27785,나은내일한의원,https://www.yeoshin.co.kr/hospitals/5256?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26504,경희다나은한의원,https://www.yeoshin.co.kr/hospitals/104009?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26214,강남초이스병원,https://www.yeoshin.co.kr/hospitals/103986?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/11002,글래시피부과의원,https://www.yeoshin.co.kr/hospitals/4701?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/10892,뷰티제이의원,https://www.yeoshin.co.kr/hospitals/4715?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/772,베이드의원,https://www.yeoshin.co.kr/hospitals/4738?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/17270,연세더나은의원,https://www.yeoshin.co.kr/hospitals/5063?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/12212,유올림의원,https://www.yeoshin.co.kr/hospitals/4815?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/14742,원더의원,https://www.yeoshin.co.kr/hospitals/4477?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/17240,톡스앤필(제주점),https://www.yeoshin.co.kr/hospitals/5060?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/9056,스무살의원,https://www.yeoshin.co.kr/hospitals/4931?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26271,워너비의원,https://www.yeoshin.co.kr/hospitals/5414?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/5550,더청담의원,https://www.yeoshin.co.kr/hospitals/4906?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/26119,유앤아이피부과의원(판교점),https://www.yeoshin.co.kr/hospitals/4802?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/7851,비티에프의원,https://www.yeoshin.co.kr/hospitals/4583?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/21702,디온의원(홍대점),https://www.yeoshin.co.kr/hospitals/5087?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/8357,메이드유의원(대전점),https://www.yeoshin.co.kr/hospitals/4625?from=events&tabmenu=EVENTS,success
https://www.yeoshin.co.kr/event/mobile/19667,디온의원(홍대점),https://www.yeoshin.co.kr/hospitals/5087?from=events&tabmenu=EVENTS,success
