hospital_name,hospital_url
은하여성의원,https://www.yeoshin.co.kr/hospitals/5074?from=events&tabmenu=EVENTS
조은날의원,https://www.yeoshin.co.kr/hospitals/200?from=events&tabmenu=EVENTS
365SY연세의원,https://www.yeoshin.co.kr/hospitals/4603?from=events&tabmenu=EVENTS
세연한의원,https://www.yeoshin.co.kr/hospitals/103824?from=events&tabmenu=EVENTS
페이브피부과의원(용산),https://www.yeoshin.co.kr/hospitals/4826?from=events&tabmenu=EVENTS
용인미하나의원,https://www.yeoshin.co.kr/hospitals/4848?from=events&tabmenu=EVENTS
빛담은한의원,https://www.yeoshin.co.kr/hospitals/5457?from=events&tabmenu=EVENTS
마이셀의원,https://www.yeoshin.co.kr/hospitals/103820?from=events&tabmenu=EVENTS
반하다의원,https://www.yeoshin.co.kr/hospitals/267?from=events&tabmenu=EVENTS
유온느의원,https://www.yeoshin.co.kr/hospitals/103855?from=events&tabmenu=EVENTS
네스트의원(강남),https://www.yeoshin.co.kr/hospitals/5226?from=events&tabmenu=EVENTS
메이린의원(대구점),https://www.yeoshin.co.kr/hospitals/5429?from=events&tabmenu=EVENTS
가로세로한의원(안양평촌점),https://www.yeoshin.co.kr/hospitals/5220?from=events&tabmenu=EVENTS
미본한의원,https://www.yeoshin.co.kr/hospitals/104007?from=events&tabmenu=EVENTS
벨로아의원,https://www.yeoshin.co.kr/hospitals/104052?from=events&tabmenu=EVENTS
더나은가정의학과의원,https://www.yeoshin.co.kr/hospitals/4997?from=events&tabmenu=EVENTS
오크우드봄의원,https://www.yeoshin.co.kr/hospitals/481?from=events&tabmenu=EVENTS
동편부부한의원,https://www.yeoshin.co.kr/hospitals/5282?from=events&tabmenu=EVENTS
자연재생한의원,https://www.yeoshin.co.kr/hospitals/104044?from=events&tabmenu=EVENTS
올리브한의원(김포점),https://www.yeoshin.co.kr/hospitals/72563?from=events&tabmenu=EVENTS
리디아여성의원,https://www.yeoshin.co.kr/hospitals/6?from=events&tabmenu=EVENTS
한가온한방병원(남양주점),https://www.yeoshin.co.kr/hospitals/103808?from=events&tabmenu=EVENTS
유앤아이의원(과천점),https://www.yeoshin.co.kr/hospitals/103997?from=events&tabmenu=EVENTS
잇츠미성형외과의원,https://www.yeoshin.co.kr/hospitals/4657?from=events&tabmenu=EVENTS
리체안한의원(분당),https://www.yeoshin.co.kr/hospitals/103954?from=events&tabmenu=EVENTS
리샘한의원(안양범계점),https://www.yeoshin.co.kr/hospitals/104006?from=events&tabmenu=EVENTS
더올린의원(수원점),https://www.yeoshin.co.kr/hospitals/4992?from=events&tabmenu=EVENTS
미소담한의원(수영점),https://www.yeoshin.co.kr/hospitals/103951?from=events&tabmenu=EVENTS
